category,place,confirmed,needed,status,requestSent
교통,남구 대연동못골시장 부근,"못골시장 일원 사업 2025.2 전체 준공, 2026.5.20 효과평가 계약상 완료. 원 2023 기개선 1항목과 사업 항목의 동일성은 별도 미확인.",2026 최종 효과평가 보고서·과업지시서·2024 발언의 8건 민원 원장 및 종결조치,공개 원문에서 항목별 현 상태 확정 못함,False
교통,남구 못골사거리 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,남구 남구종합사회복지관 부근,부산시 공식 시설 목록: 동제당로 258 (우암동). 현재 공개 목록으로 2023 점검 범위는 확정하지 않음.,2023 점검 상세 위치도와 교통시설 2항목·중장기 1항목 조치대장,공개 원문에서 항목별 현 상태 확정 못함,False
교통,남구 용호종합사회복지관 부근,부산시 공식 시설 목록: 이기대공원로 7 (용호동). 현재 공개 목록으로 2023 점검 범위는 확정하지 않음.,2023 점검 상세 위치도와 교통시설 14항목·중장기 1항목 조치대장,공개 원문에서 항목별 현 상태 확정 못함,False
교통,동구 부산진시장앞교차로 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,부산진구 굿모닝성모안과의원 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,사하구 한비전교회 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,수영구 장대골삼거리 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,수영구 사도행전교회 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,연제구 거제시장 부근,2030 계획 PDF13쪽에 거제시장 인근 근린생활가로 약400m. 2024.12.12 연제구의회는 거제천로101~121 펜스 논의 후 주민참여 펜스 예산3740만원 전액삭감. 발언자도 정확한 위치를 재확인하려 했으며 2023 점검 구역과 동일성 미확인.,"2023 단기17·중장기3항목 조치대장, 펜스 제안구간 위치도·경찰협의서·2025 최종예산 및 추경·시공 여부",공개 원문에서 항목별 현 상태 확정 못함,False
교통,연제구 부산광역시노인종합복지관,부산시 공식 목록의 부산시노인종합복지관: 거제천로230번길18(연산동). 명칭 축약의 동일기관 후보이며 2023 점검 구간은 미확정.,2023 점검 위치도·시설명 동일성 및 도로시설 9항목·중장기 1항목 조치대장,공개 원문에서 항목별 현 상태 확정 못함,False
교통,영도구 남항시장사거리 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
교통,중구 남포사거리 부근,"2025.11.12 중구 공개 현황에 남포사거리 자동형 주정차 CCTV 포함. 09~21시 운영, 11:30~14시 단속 유예. 2022 횡단보도 시범사업 발표도 있으나 2023 점검 6항목 완료 증거는 아님.","2023 단기 6·중장기 4항목 조치대장, 현재 카메라별 시행시간·예외·가동기록",공개 원문에서 항목별 현 상태 확정 못함,False
교통,해운대구 반송도서관교차로 부근,2023 점검 이후 해당 항목의 완료·미완료를 판정할 후속 원문을 이번 검색에서 확보하지 못함.,2023 점검 세부 항목별 위치·조치일·준공 검수 및 사후 평가자료,공개 원문에서 항목별 현 상태 확정 못함,False
AED,부산·연제·기장,정보불일치/등록시간/기존지원,공개 동의된 등록 ID별 점검일·실내 출입·고장 조치·운영시간 갱신·실제 이용 집계,행정대장·실태 자료 필요,False
소방 점검,불량 기재 19조사행,"6행 현지시정,13행 비고 공란",동일 조사행의 지적 항목·조치기한·이행·재점검 비식별 기록,비고 공란은 전용 조치항목 결측이 아님; 현재 미조치 시설 수 미확정,False
주택 지원,기장읍·동래 사업,2026지원계획·협업,대상·신청·완료·중복수혜·미지원 사유의 동별 비식별 집계,최종 보급·잔여 실적 미확보,False
산악·수난,초읍·금성·다대·우동 배경,정비·개장 및 폐장후 운영계획,2026현재 구간별 통제와 실근무·점검·구조 일지 및 실제 사건구간,과거 계획을 현재 근무실적으로 변환 안 함,False
